7.8.2025,22:00,Barcelona
8.8.2025,12:00,Barcelona
8.8.2025,22:00,Paris
9.8.2025,12:00,Paris
9.8.2025,22:00,Porto
10.8.2025,12:00,Porto
10.8.2025,22:00,Madrid
11.8.2025,12:00,Madrid
11.8.2025,22:00,Johannesburg
12.8.2025,12:00,Johannesburg
12.8.2025,22:00,Rio de Janeiro
13.8.2025,12:00,Rio de Janeiro
13.8.2025,22:00,São Paulo
14.8.2025,12:00,São Paulo
14.8.2025,22:00,Buenos Aires
15.8.2025,12:00,Buenos Aires
15.8.2025,22:00,Nashville
16.8.2025,12:00,Nashville
16.8.2025,22:00,New York
17.8.2025,12:00,New York
17.8.2025,22:00,Montreal
18.8.2025,12:00,Montreal
18.8.2025,22:00,Toronto
19.8.2025,12:00,Toronto
19.8.2025,22:00,Chicago
20.8.2025,12:00,Chicago
20.8.2025,22:00,Seattle
21.8.2025,12:00,Seattle
21.8.2025,22:00,Los Angeles
22.8.2025,12:00,Los Angeles
22.8.2025,22:00,Mexico City
23.8.2025,12:00,Mexico City
24.8.2025,22:00,Shanghai
25.8.2025,12:00,Shanghai
25.8.2025,22:00,Tokyo
26.8.2025,12:00,Tokyo
26.8.2025,22:00,Manila
27.8.2025,12:00,Manila
27.8.2025,22:00,Jakarta
28.8.2025,12:00,Jakarta
28.8.2025,22:00,Melbourne
29.8.2025,12:00,Melbourne
29.8.2025,22:00,Singapore
30.8.2025,12:00,Singapore
30.8.2025,22:00,Baku
31.8.2025,12:00,Baku
31.8.2025,22:00,Ankara
1.9.2025,12:00,Ankara
1.9.2025,22:00,Moscow
