10.05.2025,22:00,Tallinn
11.05.2025,12:00,Tallinn
11.05.2025,22:00,Tromsø
12.05.2025,12:00,Tromsø
12.05.2025,22:00,Copenhagen
13.05.2025,12:00,Copenhagen
13.05.2025,22:00,Warsaw
14.05.2025,12:00,Warsaw
14.05.2025,22:00,Dubrovnik
15.05.2025,12:00,Dubrovnik
15.05.2025,22:00,Belgrade
16.05.2025,12:00,Belgrade
16.05.2025,22:00,Sarajevo
17.05.2025,12:00,Sarajevo
17.05.2025,22:00,Milan
18.05.2025,12:00,Milan
18.05.2025,22:00,Rome
19.05.2025,12:00,Rome
19.05.2025,22:00,Izmir
20.05.2025,12:00,Izmir
20.05.2025,22:00,Antalya
21.05.2025,12:00,Antalya
21.05.2025,22:00,Istanbul
22.05.2025,12:00,Istanbul
22.05.2025,22:00,Sofia
23.05.2025,12:00,Sofia
23.05.2025,22:00,Bucharest
24.05.2025,12:00,Bucharest
24.05.2025,22:00,Budapest
25.05.2025,12:00,Budapest
25.05.2025,22:00,Berlin
26.05.2025,12:00,Berlin
26.05.2025,22:00,Amsterdam
27.05.2025,12:00,Amsterdam
27.05.2025,22:00,Brussel
28.05.2025,12:00,Brussel
28.05.2025,22:00,London
30.05.2025,12:00,London
30.05.2025,22:00,Glasgow
31.05.2025,12:00,Glasgow
31.05.2025,22:00,Barcelona
01.06.2025,12:00,Barcelona
01.06.2025,22:00,Paris
02.06.2025,12:00,Paris
02.06.2025,22:00,Porto
03.06.2025,12:00,Porto
03.06.2025,22:00,Madrid
04.06.2025,12:00,Madrid
04.06.2025,22:00,Johannesburg
05.06.2025,12:00,Johannesburg
05.06.2025,22:00,Rio de Janeiro
06.06.2025,12:00,Rio de Janeiro
06.06.2025,22:00,São Paulo
07.06.2025,12:00,São Paulo
07.06.2025,22:00,Buenos Aires
08.06.2025,12:00,Buenos Aires
08.06.2025,22:00,Nashville
09.06.2025,12:00,Nashville
09.06.2025,22:00,New York
10.06.2025,12:00,New York
10.06.2025,22:00,Montreal
11.06.2025,12:00,Montreal
11.06.2025,22:00,Toronto
12.06.2025,12:00,Toronto
12.06.2025,22:00,Chicago
13.06.2025,12:00,Chicago
13.06.2025,22:00,Seattle
14.06.2025,12:00,Seattle
14.06.2025,22:00,Los Angeles
15.06.2025,12:00,Los Angeles
15.06.2025,22:00,Mexico City
16.06.2025,12:00,Mexico City
17.06.2025,22:00,Shanghai
18.06.2025,12:00,Shanghai
18.06.2025,22:00,Tokyo
19.06.2025,12:00,Tokyo
19.06.2025,22:00,Manila
20.06.2025,12:00,Manila
20.06.2025,22:00,Jakarta
21.06.2025,12:00,Jakarta
21.06.2025,22:00,Melbourne
22.06.2025,12:00,Melbourne
22.06.2025,22:00,Singapore
23.06.2025,12:00,Singapore
23.06.2025,22:00,Ankara
24.06.2025,12:00,Ankara
24.06.2025,22:00,Baku
25.06.2025,12:00,Baku
25.06.2025,22:00,Kyiv
26.06.2025,12:00,Kyiv
26.06.2025,22:00,Moscow
27.06.2025,12:00,Moscow
27.06.2025,22:00,Vilnius
28.06.2025,12:00,Vilnius
28.06.2025,22:00,Stockholm
29.06.2025,12:00,Stockholm
29.06.2025,22:00,Helsinki
30.06.2025,12:00,Helsinki
30.06.2025,22:00,Tallinn
01.07.2025,12:00,Tallinn
01.07.2025,22:00,Tromsø
02.07.2025,12:00,Tromsø
02.07.2025,22:00,Copenhagen
03.07.2025,12:00,Copenhagen
03.07.2025,22:00,Warsaw
04.07.2025,12:00,Warsaw
04.07.2025,22:00,Dubrovnik
05.07.2025,12:00,Dubrovnik
05.07.2025,22:00,Belgrade
06.07.2025,12:00,Belgrade
06.07.2025,22:00,Sarajevo
07.07.2025,12:00,Sarajevo
07.07.2025,22:00,Milan
08.07.2025,12:00,Milan
