18.03.2026,12.00,Antalya
18.03.2026,22.00,Ankara
19.03.2026,12.00,Ankara
19.03.2026,22.00,Baku
20.03.2026,12.00,Baku
20.03.2026,22.00,Johannesburg
21.03.2026,12.00,Johannesburg
21.03.2026,22.00,Rio de Janeiro
22.03.2026,12.00,Rio de Janeiro
22.03.2026,22.00,São Paulo
23.03.2026,12.00,São Paulo
23.03.2026,22.00,Buenos Aires
25.03.2026,12.00,Buenos Aires
25.03.2026,22.00,Montreal
26.03.2026,12.00,Montreal
26.03.2026,22.00,Toronto
27.03.2026,12.00,Toronto
27.03.2026,22.00,New York
28.03.2026,12.00,New York
28.03.2026,22.00,Nashville
29.03.2026,12.00,Nashville
29.03.2026,22.00,Chicago
30.03.2026,12.00,Chicago
30.03.2026,22.00,Mexico City
31.03.2026,12.00,Mexico City
31.03.2026,22.00,Los Angeles
01.04.2026,12.00,Los Angeles
01.04.2026,22.00,Seattle
03.04.2026,12.00,Melbourne
04.04.2026,12.00,Melbourne
06.04.2026,12.00,Jakarta
06.04.2026,22.00,Singapore
07.04.2026,12.00,Jakarta
07.04.2026,22.00,Singapore
08.04.2026,12.00,Singapore
08.04.2026,22.00,Manila
09.04.2026,12.00,Manila
09.04.2026,22.00,Shanghai
10.04.2026,12.00,Shanghai
10.04.2026,22.00,Tokyo
11.04.2026,12.00,Tokyo
11.04.2026,22.00,Kyiv
12.04.2026,12.00,Kyiv
14.04.2026,12.00,Moscow
15.04.2026,12.00,Moscow
15.04.2026,22.00,Vilnius
16.04.2026,12.00,Vilnius
16.04.2026,22.00,Tallinn
17.04.2026,12.00,Tallinn
17.04.2026,22.00,Helsinki
18.04.2026,12.00,Helsinki
18.04.2026,22.00,Tromsø
19.04.2026,12.00,Tromsø
19.04.2026,22.00,Stockholm
20.04.2026,12.00,Stockholm
20.04.2026,22.00,Copenhagen
21.04.2026,12.00,Copenhagen

21.04.2026,22.00,Glasgow

